Case Model,Width (inches),Depth (inches),Square Footage,Rounded Square Footage,Bolea Square Footage,Square Footage with Space in Warehouse,Case Size,AltDescription
O2DMZD12,148,48,49.3333,50,,50,12',Multi-Deck Merchandiser (Frozen Food)
O2DMZD12,150,48,50,50,,55,,
O2DMZD6,76,48,25.3333,26,,26,6',Multi-Deck Merchandiser (Frozen Food)
O2DMZD8,99,48,33,33,,36,8',Multi-Deck Merchandiser (Frozen Food)
O325EM1,90,48,30,30,30,30,8',Multideck end cap
O325EM7,99,48,33,33,32,33,7',7' multi-deck merchandiser
O325UM12,148,48,49.3333,50,48,50,12',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce)
O325UM4,51,48,17,17,16,17,4',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce)
O325UM6,75,48,25,25,24,25,6',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce)
O325UM8,99,48,33,33,32,33,8',Multi-Deck Merchandiser (Deli/Dairy/Meat/Produce)
O35EM7,99,48,33,33,,35,,
O35UM10,144,48,48,48,,50,,
O35UM12,148,48,49.3333,50,,50,12',Narrow Multi-Deck Merchandiser
O35UM4,51,48,17,17,16,17,4',
O35UM6,75,48,25,25,,25,,
o35um7,99,48,33,33,,36,,
O35UM8,99,48,33,33,,36,8',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
O35UM90,99,48,33,33,,36,,90 Degree Case - usually ships attached to a case
O35UM90OS,99,48,33,33,,36,,
O35UM-90OS,99,48,33,33,,36,,
O35UM-W90D,99,48,33,33,,36,,
O3EM1,90,48,30,30,30,30,,
O3UM10,144,48,48,48,,50,,
O3UM12,148,48,49.3333,50,,50,12',Seafood case
O3UM12DX,148,48,49.3333,50,,50,12',
O3UM4,48,48,16,16,,20,,
O3UM45,75,48,25,25,24,25,,45 Degree Case - usually ships attached to a case
O3UM6,75,48,25,25,,30,6',Fresh Meat Island
O3UM6DX,75,48,25,25,,30,6',
O3UM8,100,48,33.3333,34,,36,8',Fresh Meat Island
O3UM8DX,100,48,33.3333,34,,36,8',
O3UM90,99,48,33,33,,36,,90 Degree Case - usually ships attached to a case
O3UM90OS,99,48,33,33,,36,,
O4EM1,76,48,25.3333,26,,30,,
O4em7,76,48,25.3333,26,,30,,
O4UM12,148,48,49.3333,50,,50,,
O4UM6,76,48,25.3333,26,,30,,
O4UM8,99,48,33,33,,36,8',Multi-Deck Merchandiser (Dairy/Deli/Produce)
O5dm10,130,48,43.3333,44,,45,,
O5DM12,148,48,49.3333,50,48,50,12',Multi-Deck Merchandiser (Beverage/Dairy/Deli/Produce)
O5DM4,51,48,17,17,16,17,4',Multi-Deck Merchandiser (Beverage/Dairy/Deli/Produce)
O5DM6,75,48,25,25,24,25,6',Multi-Deck Merchandiser (Beverage/Dairy/Deli/Produce)
O5DM8,99,48,33,33,32,33,8',Multi-Deck Merchandiser (Beverage/Dairy/Deli/Produce)
O5DMA4,50,48,16.6667,17,,25,,
O5DMA6,78,48,26,26,,30,,
O5DMA8,100,48,33.3333,34,,35,,
O5DMAR4,55,48,18.3333,19,,20,,
O5DMAR6,80,48,26.6667,27,,30,,
O5DMH12,148,48,49.3333,50,48,50,12',Multi-Deck Merchandiser (Beverage/Dairy/Deli/Produce)
O5DMH8,99,48,33,33,32,33,8',Multi-Deck Merchandiser (Beverage/Dairy/Deli/Produce)
O5DMHX8,99,48,33,33,,35,,
O5M8,100,48,33.3333,34,,40,,
O5UM8,99,48,33,33,36,36,8',
O5Z6,190,48,63.3333,64,70,70,,6 DOOR CASE
OB-4R,80,80,44.4444,45,,45,4',Specialty Case
OB-4R-Fortinos-7580-CBOM,75,75,39.0625,40,,45,,
OB-6R,110,80,61.1111,62,,65,6',Specialty Case
OB-6R Produce,105,75,54.6875,55,,55,,
OB-6R-Fortinos-7580-CBOM,105,75,54.6875,55,,60,,
OC10,148,48,49.3333,50,55,55,,
OC12,148,48,49.3333,50,55,55,,
OC8,100,48,33.3333,34,36,36,,
OC-90OS,148,48,49.3333,50,55,55,,
OHM12,148,43,44.4514,45,48,48,12',High Multi-Deck Merchandiser (Deli/Meat)
OHM6,75,48,25,25,30,30,,
OHM8,99,43,29.7344,30,32,32,8',High Multi-Deck Merchandiser (Deli/Meat)
OHMH12,148,43,44.4514,45,48,48,12',High Multi-Deck Merchandiser (Deli/Meat)
OHMH4,51,43,15.3177,16,16,16,4',High Multi-Deck Merchandiser (Deli/Meat)
OHMH6,75,43,22.526,23,24,24,6',High Multi-Deck Merchandiser (Deli/Meat)
OHMH8,99,43,29.7344,30,32,32,8',High Multi-Deck Merchandiser (Deli/Meat)
OHP12,148,48,49.3333,50,55,55,12',12' Produce case
OHP4,51,48,17,17,,20,,
OHP6,75,78,40.625,41,,45,,
OHP8,99,43,29.7344,30,32,32,8',8' Produce Case
OHPH12,148,48,49.3333,50,55,55,,
OHPH4,51,48,17,17,20,20,,
OHPH6,75,48,25,25,25,25,,
OHPH-M4,55,48,18.3333,19,20,20,,
OIZ12,150,60,62.5,63,,65,,
OMZD12,150,48,50,50,,50,,
OMZD6,75,48,25,25,,25,,
OMZD8,96,48,32,,,35,,
ON25UM8,100,48,33.3333,35,,35,,
ON2UM12,148,46,47.2778,48,48,48,12',Narrow Multi-Deck Merchandiser (dairy/deli/meat/produce/seafood)
ON2UM4,51,46,16.2917,17,16,17,4',Narrow Multi-Deck Merchandiser (dairy/deli/meat/produce/seafood)
ON2UM6,75,38,19.7917,20,24,24,6',Narrow Multi-Deck Merchandiser (dairy/deli/meat/produce/seafood)
ON2UM8,99,38,26.125,27,32,27,8',Narrow Multi-Deck Merchandiser (dairy/deli/meat/produce/seafood)
ON35EM1,74,36,18.5,19,,25,6',Narrow Multi Deck End Cap Merchandiser
ON35EM6,75,48,25,25,,25,6',End Cap
ON35EM8,96,36,24,24,,25,8',
ON35UM12,148,48,49.3333,50,50,50,12',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON35UM6,78,48,26,26,,26,6',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON35UM8,96,36,24,24,,25,8',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON3UM6,78,48,26,26,,35,,
ON3UM8,100,48,33.3333,34,40,40,,
ON4EM,76,48,25.3333,30,30,30,,End Bunk
ON4EM6,74,36,18.5,19,,22,,
ON4UM12,148,48,49.3333,55,55,55,,12' Island
ON5DM12,148,36,37,37,48,48,12',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON5DM4,51,36,12.75,13,16,16,4',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON5DM6,75,36,18.75,19,24,24,6',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON5DM8,99,36,24.75,25,32,32,8',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON5DMH12,150,48,50,50,,55,,
ON5DMH12,148,48,49.3333,50,50,50,12',High Multi-Deck Merchandiser (Deli/Meat/Beverage/Produce)
ON5DMH4,52,48,17.3333,18,,20,,
ON5DMH6,78,48,26,26,,30,,
ON5DMH8,100,48,33.3333,34,,36,,
ON5DMH8,99,48,33,33,36,36,8',High Multi-Deck Merchandiser (Deli/Meat/Beverage/Produce)
ON5DMX12,148,36,37,37,48,48,12',Narrow Multi-Deck Merchandiser (dairy/deli/produce)
ON5DMX4,52,48,17.3333,18,,25,,
ON5DMX6,78,48,26,26,,30,,
ON5DMX8,100,48,33.3333,34,36,36,,
ONHMH12,148,48,49.3333,50,,55,,
ONHMH4,52,48,17.3333,18,,20,,
ONHMH6,76,48,25.3333,26,,30,,
ONHMH8,100,48,33.3333,34,,36,,
ONIZGG12,150,48,50,50,50,50,,
ONIZGG8,102,48,34,34,,36,8',8' frozen food case
ONRB5,155,48,51.6667,52,55,55,,
ONRZ2,60,48,20,20,,22,5',2 door frozen food/ice cream case
ONRZ3,95,48,31.6667,32,,32,8',3 door Frozen Food/Ice Cream Case
ONRZ4,125,48,41.6667,42,,42,10',
ONRZ5,150,48,50,50,,52,13',5 door frozen food/ice cream case
ONRZ6,184,35,44.4028,45,60,60,15.5',
ONRZD2,60,48,20,20,,22,,
ONRZH3,94,48,31.3333,32,,32,8',3 door Frozen Food/Ice Cream Case
ONRZH4,124,48,41.3333,42,,48,10.5',4 Door Frozen Food/Ice Cream Cast
ONRZH5,153,48,51,51,,56,13',5 door frozen food/ice cream case
ONRZH6,185,48,61.6667,62,,70,16',6 door merchandiser
ONRZHPV2,64,48,21.3333,22,,25,,
ONRZHPV3,95,48,31.6667,32,,35,,
ONRZHPV4,125,48,41.6667,42,,45,,
ONRZHPV5,155,48,51.6667,52,,55,,
ONRZHPV6,185,48,61.6667,62,,65,,
ONRZPV2,64,35,15.4444,16,20,20,5.5',2 door narrow reach in
ONRZPV3,94,35,22.684,23,30,30,8',3 door narrow reach in
ONRZPV4,124,35,29.9236,30,40,40,10.5',4 door narrow reach in
ONRZPV5,154,35,37.1632,38,50,50,13',5 door narrow reach in
ONRZPV6,184,35,44.4028,45,60,60,15.5',6 door narrow reach in
orb12,148,48,49.3333,50,,50,,
ORB5,155,48,51.6667,52,,55,,
ORB5,155,48,51.6667,52,,55,,
ORB8,99,48,33,33,,33,,
ORBH12,180,42,52.5,53,,55,,
ORBH4,60,42,17.5,18,,20,,
ORBH6,90,42,26.25,27,,30,,
ORBH8,120,42,35,35,,35,,
ORDM12,148,48,49.3333,50,55,55,,
ORDR10412,148,48,49.3333,50,,55,12',dairy
ORDR1048,100,48,33.3333,34,,36,8',dairy
ORDR12,150,48,50,50,,55,12',12' Roll-In Rear-Load Multi-Deck Merchandiser
ORDR8,100,48,33.3333,34,,40,8',8' Roll-In Rear-Load Multi-Deck Merchandiser
ORZ2,64,48,21.3333,22,25,25,,2 door case
ORZ3,96,48,32,32,35,35,,3 door case
ORZ3,94,48,31.3333,32,32,32,8',3 door Reach In Merchandiser
ORZ4,125,48,41.6667,42,45,45,,4 door case
ORZ4DX,125,48,41.6667,42,45,45,,
ORZ5,160,48,53.3333,54,60,60,,5 door case
ORZ5,154,48,51.3333,52,52,52,13',5 door Reach In Merchandiser
ORZ5DX,155,48,51.6667,52,60,60,,
ORZ6,190,48,63.3333,64,70,70,,6 door case
ORZH2,94,48,31.3333,32,,32,,
ORZH3,94,48,31.3333,32,,32,,
ORZH4,124,48,41.3333,42,45,45,,
ORZH5,160,48,53.3333,54,,60,,
ORZH5D,160,48,53.3333,54,60,60,,
ORZH6,185,48,61.6667,62,65,65,,
ORZPV2,64,48,21.3333,22,22,22,5.5',2 door Reach In Merchandiser
ORZPV2D,64,48,21.3333,22,22,22,,
ORZPV3,94,48,31.3333,32,32,32,8',3 door Reach In Merchandiser
ORZPV4,124,48,41.3333,42,42,42,10.5',4 door Reach In Merchandiser
ORZPV5,154,48,51.3333,52,52,52,13',5 door Reach In Merchandiser
ORZPV6,184,48,61.3333,62,62,62,15.5',6 door Reach In Merchandiser
OUM12,146,48,48.6667,49,55,55,12',multi deck merchandiser
OUM4,50,48,16.6667,17,20,20,4',multi deck merchandiser
OUM6,74,48,24.6667,25,30,30,6',multi deck merchandiser
OUM8,98,48,32.6667,33,35,35,8',multi deck merchandiser
OWAZ8,98,55,37.4306,38,40,40,,8' frozen food case
OWEZV,90,48,30,30,30,30,7',End Cap
OWEZV1,90,48,30,30,30,30,7',End Cap
OWIZV10,140,83,80.2083,81,88,88,10',Wide Island (Frozen Food/Ice Cream)
OWIZV12,160,83,91.6667,92,104,104,12',Wide Island (Frozen Food/Ice Cream)
OWIZV6,100,83,57.2917,58,56,57,6',Wide Island (Frozen Food/Ice Cream)
OWIZV8,112,83,64.1667,65,72,72,8',Wide Island (Frozen Food/Ice Cream)
OWZGG8,96,90,60,60,,65,,
Parts Case,58,58,23.3611,24,30,30,,
Parts-Case,56,50,19.4444,20,25,25,,
Parts-Case,56,50,19.4444,20,25,25,,
PF-10H,130,50,45.1389,46,,50,10',Specialty Case
PF-10H-54,130,60,54.1667,55,,65,,Specialty Case
PF-10R-54-CBOM,130,50,45.1389,46,,50,10',
PF12R(54),152,50,52.7778,53,,55,12',Specialty Case
PF-12R-51-CBOM,152,50,52.7778,53,55,55,,
PF-12R-54,152,50,52.7778,53,,55,,Specialty Case
PF-12R-7-51-IC-CBOM,152,50,52.7778,53,,55,,
PF-4H,56,55,21.3889,22,,25,,
PF-4H-51-CBOM,56,50,19.4444,25,25,25,,Specialty Case
PF-4H-54-CBOM,56,55,21.3889,22,,25,,
PF-4H-72-CBOM,56,50,19.4444,25,,25,,
PF-4HC-51-CBOM,56,50,19.4444,20,,25,,
PF-4HC-51-CBOM,56,50,19.4444,20,,25,,
PF-4HC-51-CBOM,56,50,19.4444,20,,25,,
PF-4HC-54-CBOM,56,50,19.4444,20,,25,,
PF-4HC-72-CBOM,56,50,19.4444,20,,25,,
PF-4R-51-CBOM,56,52,20.2222,21,,25,,
PF-4R-51-CBOM,56,50,19.4444,20,25,25,,
PF-4R-51-EC-CBOM,56,50,19.4444,20,,25,,
PF-6H,82,49,27.9028,28,,30,6',Specialty Case
PF-6H-51-CBOM,96,50,33.3333,34,40,40,,
PF-6H-54-CBOM,96,50,33.3333,34,40,40,,
PF-6H-60 Hot Chicken,84,43,25.0833,26,,30,,
PF-6H-60-Fortinos-7580-CBOM,84,40,23.3333,24,,30,,
PF-6HC-51-CBOM,80,50,27.7778,28,,30,,
PF-6HC-54-CBOM,80,42,23.3333,24,,25,,
PF-6R-51-EC-CBOM,84,50,29.1667,30,,35,,
PF-6R-51-EC-CBOM,84,50,29.1667,30,,35,,
PF-7H-48-CBOM,90,43,26.875,27,,30,,
PF-7H-51-CBOM,96,50,33.3333,34,36,36,,
PF-7R-51-CBOM,96,50,33.3333,34,36,36,,
PF-7R-51-EC-CBOM,90,50,31.25,32,,35,,
PF-8H-51-CBOM,105,48,35,35,40,40,,
PF-8H-54-CBOM,105,50,36.4583,37,40,40,,
PF-8R-51-CBOM,105,48,35,35,40,40,,
PF-8R-51-CBOM,105,48,35,35,40,40,,
PF-8R-54-CBOM,148,48,49.3333,50,,50,,
PFI-406R-51-IC-CBOM,84,75,43.75,44,,50,,
PFI-408R-51-IC-CBOM,105,65,47.3958,48,,50,,
PFI-519R-54-CBOM,205,75,106.7708,107,,115,,
PFI-519R-54-CBOM,84,50,29.1667,30,,35,,
PFI-519R-54-CBOM,230,75,119.7917,120,,130,,
PFI-608R-51-IC-CBOM,105,75,54.6875,55,,60,,
PFI-612R-51-IC-CBOM,152,75,79.1667,80,,85,,
PT-10R-RRS-34.5-CBOM,130,66,59.5833,60,65,65,,
PT-12R,152,66,69.6667,70,,75,,
PT-12R-DRS-34.5-Cafe-7580-CBOM,152,56,59.1111,60,65,65,,Specialty Case
PT-12R-DRS-34.5-CBOM,152,50,52.7778,53,,55,,
PT-12R-DRS-34.5-CBOM,152,56,59.1111,60,65,65,,
PT-12R-RRS-34.5-CBOM,152,66,69.6667,70,,75,,
PT-12S-51-CBOM,158,48,52.6667,53,,55,,
PT-12S-52-7580-CBOM,152,50,52.7778,53,55,55,,
PT-1OR-RRS-34.5-CBOM,152,64,67.5556,68,,75,,
PT-4R-DRS-34.5-CBOM,56,50,19.4444,20,,25,,
PT-4R-DRS-CASH,56,56,21.7778,22,25,25,,
PT-4R-DRS-CashBev-7580-CBOM,56,50,19.4444,20,25,25,,
PT-4R-DRS-CashBev-7580-CBOM,56,56,21.7778,22,25,25,,
PT-4R-DRS-CashBev-7580-CBOM,56,56,21.7778,22,25,25,,4' Cash & Beverage
PT-4R-RRS-34.5-CBOM,56,56,21.7778,22,,25,,
PT-5R-DRS-34.5-CBOM,70,50,24.3056,25,,30,,
PT-6R-DRS-CashBev-7580-CBOM,84,56,32.6667,33,36,36,,
PT-6R-ODRS-34.5-CBOM,84,56,32.6667,33,,40,,
PT-6R-RRS,80,66,36.6667,37,,40,6',Specialty Case
PT-6R-RRS-34 .5-CBOM,84,56,32.6667,33,36,40,,
PT-6R-RRS-34.5-CBOM,80,66,36.6667,37,,40,6',Specialty Case
PT-6R-RRS-Sushi-7580-CBOM,84,66,38.5,39,,45,,
PT-6R-RRS-Sushi-7673-CBOM,84,66,38.5,39,,45,,
PT-6S-51-CBOM,84,48,28,28,,30,,
PT-8R-DRS,105,66,48.125,49,,55,8',Specialty Case
PT-8R-DRS-34.5-CBOM,105,66,48.125,49,,55,8',Specialty Case
PT-8R-ODRS-34.5-CBOM,105,66,48.125,49,,55,,
PT-8R-RRS,105,66,48.125,49,,55,8',service/self service refrigerated sushi w/r
PT-8R-RRS-34.5-CBOM,105,56,40.8333,41,45,45,,
PT-8R-RRS-34.5-CBOM,105,56,40.8333,41,45,45,,
PT-8R-RRS-34.5-CBOM,105,66,48.125,49,,55,,
PT-8R-RRS-34.5-CBOM,105,66,48.125,49,55,55,,
PT-8R-RRS-39.5-CBOM,105,65,47.3958,48,,50,,
PT-8R-RRS-Sushi-7580-CBOM,105,66,48.125,49,,55,,
PT-8S-51-CBOM,105,48,35,35,,35,,
PT-8S-52-7580-CBOM,105,48,35,35,40,40,,
PTD-10RGC-Cube-DRS-CBOM,130,60,54.1667,55,,55,,
PTD-12R,152,56,59.1111,60,,75,,
PTD-12RGC-SSC,152,64,67.5556,68,75,75,,
PTD-12RGC-SSC,152,64,67.5556,68,75,75,,
PTD-12RGC-SSC-Cube-DRS-CBOM,152,64,67.5556,68,,75,,
PTD-12RGC-SSC-Cube-DRS-CBOM,152,56,59.1111,60,,75,,
PTD-12RGC-SSC-Cube-DRS-CBOM,152,56,59.1111,60,,75,,
PTD-12RGC-SSC-Cube-DRS-CBOM,152,56,59.1111,60,,75,,
PTD-12RG-Cube-DRS-CBOM,152,56,59.1111,60,,75,,
PTD-12RG-DRS-CBOM,152,56,59.1111,60,,75,,
PTD-4R,56,56,21.7778,22,,25,4',Specialty Case
PTD-5R-DRS-CBOM,84,56,32.6667,33,,35,,
PTD-6H-Cube-CBOM,54,56,21,21,,25,,
PTD-6H-Cube-DRS-CBOM,80,60,33.3333,34,,40,,
PTD-6R,84,60,35,35,,40,6',Specialty Case
PTD-6R-DLS,84,60,35,35,,45,8',service/self service refrigerated sandwich
PTD-6R-DRS,84,56,32.6667,33,35,35,,
PTD-6R-ODRS-Pizza-7580-CBOM,84,56,32.6667,33,35,35,,
PTD-8H-CUBE-DRS,105,56,40.8333,41,,48,,
PTD-8H-Cube-DRS-CBOM,105,70,51.0417,52,,55,,
PTD-8R,105,56,40.8333,41,45,45,,
PTD-8R-Cube-RRS-CBOM,105,50,36.4583,37,,40,,
PTD-8R-DRS,105,60,43.75,44,48,48,,
PTD-8R-DRS-CBOM,105,66,48.125,49,,48,,
PTD-8RGC-SSC-Cube-DRS-CBOM,105,60,43.75,44,,55,,
PTD-8RGC-SSC-Cube-DRS-CBOM,105,60,43.75,44,,45,,
PTD-8RG-Cube-DRS-CBOM,105,56,40.8333,41,,48,,
PTD-8RG-Cube-DRS-CBOM,105,56,40.8333,41,,48,,
PTD-8RG-Cube-DRS-CBOM,105,60,43.75,44,48,48,,
PTD-8RGG-SCC-Cube-DRS-CBOM,105,56,40.8333,41,,48,,
PTD-8R-ODRS-CBOM,84,66,38.5,39,45,48,,specialty case
PTD-8R-ODRS-CBOM,105,66,48.125,49,,48,8',Specialty Case
PTD-8R-ODRS-Pizza-7580-CBOM,105,56,40.8333,41,45,48,,
PTD-GSD-6R,84,60,35,35,,40,,Specialty Case
PTD-GSD-8R-CBOM,105,70,51.0417,52,,55,,
PTD-GSD-8R-ODRS-CBOM,105,50,36.4583,37,,40,,
Q2SPN6,84,72,42,,,45,,
Q47-24TM,56,32,12.4444,13,15,15,,
Q47-24TM,56,32,12.4444,13,,15,6',Specialty Case
Q-47S-24-TM-CBO,56,32,12.4444,13,,25,,
Q-47S-24-TM-CBOM,56,32,12.4444,13,25,25,,
Q-95S-24-TM-CBOM,150,30,31.25,32,35,35,,
QC-12R-24 HMR,152,40,42.2222,43,,45,,
QC-12R-24-CBOM,152,36,38,38,,40,,
QC-12R-30,152,36,38,38,,40,,
QC-12R-30-CBOM,152,36,38,38,,40,,
QC-12R-35-Fortinos-7580-CBOM,152,40,42.2222,43,45,45,,
QC-144-35R-7580,152,50,52.7778,53,,55,,
QC-144R,152,50,52.7778,53,,55,,Specialty Case
QC-4R-24-CBOM,56,30,11.6667,12,,20,,
QC-4R-30-CBOM,53,43,15.8264,16,,20,,
QC-4R-35-CBOM,53,43,15.8264,16,,20,,
QC72-24R,82,32,18.2222,19,22,22,,Specialty Case
QC72-30R,80,36,20,20,,20,,Specialty Case
QC-8R-24-CBOM,105,36,26.25,27,,28,,
QC-8R-30-CBOM,105,40,29.1667,30,35,35,,
QC-96R,105,41,29.8958,30,,30,,Specialty Case
RDAL-N5,85,39,23.0208,24,,25,,
RDAL-N5-6,85,39,23.0208,24,,25,,
RDAL-N5-8,106,39,28.7083,29,,30,,
RL-1,35,44,10.6944,11,,15,,
RL-2,62,44,18.9444,19,,25,,
RL-3,92,44,28.1111,29,,35,,
RL-4,122,44,37.2778,38,,45,,
RL-5,153,44,46.75,47,,50,,
RLN-5,153,44,46.75,47,,50,,
RDEL-22,59,50,20.4861,21,,25,,
RMN2A,82,48,27.3333,28,,30,,
Roll IN 06I,79,48,26.3333,27,,30,,
Roll In 08I,105,48,35,35,,40,,
Roll-IN 08I,105,48,35,35,,40,,
Roll-IN 12I,160,48,53.3333,54,,55,,
ROLL-IN  08I,105,48,35,35,,40,,
S2SB-12R-CBOM,152,50,52.7778,53,60,60,,
S2SB-6R-CBOM,80,50,27.7778,28,35,35,,
S2SB-8R-CBOM,105,50,36.4583,37,45,45,,
S2SB-8R-CBOM,105,50,36.4583,37,45,45,,
S2SGC-12,152,56,59.1111,60,,65,,
S2SGC-12R-CBOM,152,60,63.3333,64,,65,,
S2SGC-12R-SSC-CBOM,152,56,59.1111,60,,65,,
S2SGC-8R-CBOM,105,50,36.4583,37,,40,,
S2SGC-8R-SSC-CBOM,105,60,43.75,44,,55,,
Sashimi 8,107,62,46.0694,47,,50,,
SB-10R-CBOM,13,50,4.5139,5,,15,,
SB-206D,84,36,21,21,,25,,Specialty Case
SB-306,84,48,28,28,30,30,,
SB-306,84,48,28,28,,30,,
SB-306D-OliveBar-,84,48,28,28,,30,,
SB-306R,84,48,28,28,,30,,Specialty Case
SB-306S-AntipastoBar-7673-CBOM,84,48,28,28,,30,,
SB-306S-Antipastol,84,48,28,28,,30,,
SB-308,90,48,30,30,30,30,,
SB-310R,130,50,45.1389,46,,50,10',10' remote self-service salsa/olive bar
SB-314R,190,43,56.7361,57,,65,,Specialty Case
SB-6R-CBOM,84,50,29.1667,30,,35,,
SBI-12S/H-CBOM,152,75,79.1667,80,,85,,
SBI-12S-CBOM,152,75,79.1667,80,,85,,
SBI-13S-CBOM,175,65,78.9931,79,,80,,
SBI-14R/H-CBOM,180,80,100,100,,120,,
SBI-14R-CBOM,180,75,93.75,94,,100,,
SBI-20R/H-CBOM,250,75,130.2083,131,,135,,
SBI-406H,164,76,86.5556,87,90,90,,
SBI-406H-Chicken-7580-CBOM,164,76,86.5556,87,90,90,,
SBI-407H,105,50,36.4583,37,40,40,,
SBI-408H,105,56,40.8333,41,45,45,,
SBI-408H-CHICKEN-7580-CBOM,105,60,43.75,44,45,45,,
SBI-408H-Soup-7580-CBOM,105,56,40.8333,41,45,45,,
SBI-416SC,210,50,72.9167,73,,80,,
SBI-7R-CBOM,105,50,36.4583,37,,40,,
SBI-7S-CBOM,90,75,46.875,47,50,50,,
SBI-8H-CBOM,105,56,40.8333,41,45,45,,
SBI-9S-CBOM,90,65,40.625,41,45,45,,
SGM-12R-CBOM,60,152,63.3333,64,70,70,12',Specialty Case
SGM-8R-CBOM,60,105,43.75,44,50,50,8',Specialty Case
SGMO-12R,60,152,63.3333,64,70,70,12',Specialty Case
SGMO-12R Service Deli,,,0,0,,,,
SGMO-8R,60,105,43.75,44,50,50,8',Specialty Case
SMD-6R-Cube-Deli-CBOM,84,50,29.1667,,,35,,
SSAM12,148,48,49.3333,50,55,55,,12' Specialty meat Case
SSAM-12RG-CBOM,152,60,63.3333,64,70,70,,
SSAM8,110,48,36.6667,37,40,40,,8' Specialty meat cast
SSAM-8RG-CBOM,105,60,43.75,44,50,50,,
SSD-4R-LT-F-CBOM,56,50,19.4444,20,25,25,,
SSFM-12RG-CBOM,152,50,52.7778,53,,55,,
Tango 2 Door,58,32,12.8889,13,,15,,
Tango 3 Door,82,32,18.2222,19,,25,,
Tango 4 Door,106,32,23.5556,24,,30,,
TANGO KW 125 COMPACT,58,32,12.8889,13,,15,,
TANGO KW 188 COMPACT,82,32,18.2222,19,,25,,
TANGO KW 250 COMPACT,106,32,23.5556,24,,30,,
Tangor 12,155,42,45.2083,46,,55,,
Tangor 6,82,42,23.9167,24,,30,,
Tangor 8,107,42,31.2083,32,,35,,
TEND LH INT.BLACK EXT.COLOR KW,87,32,19.3333,20,,20,,"end cap? 87""h x 32"" L x 9"" w"
Trattoria 12,155,53,57.0486,58,,55,,
Trattoria 4,70,42,20.4167,21,,25,,
Trattoria 6,82,53,30.1806,31,,30,,
Trattoria 8,107,53,39.3819,40,,35,,
TY4ECRC,192,72,96,96,,100,,
Valzer KW 2P,63,36,15.75,16,,20,,
VALZER KW 2P INT.BLACK EXT.COL.,63,36,15.75,16,,20,,
VALZER KW 2P INT.WHITE EXT.COL.,63,36,15.75,16,,20,,
Valzer KW 3P,90,36,22.5,23,,30,,
VALZER KW 3P INT.BLACK EXT.COL.,90,36,22.5,23,,30,,
Valzer KW 4P,117,36,29.25,30,,40,,
VALZER KW 4P INT.BLACK EXT.COL.,117,36,29.25,30,,40,,
VISION P85 H150 04M UI R290,51,34,12.0417,13,,15,,
VISION P85 H205 04M UI R290,51,34,12.0417,13,,15,,
VISION P85 H205 06M UI R290,76,34,17.9444,18,,20,,
VISION P85 H205 08M UI R290,100,34,23.6111,24,,26,,
VISION P85 H205 BT 06M UI R290,76,34,17.9444,18,,20,,
VISION P85 H150 08M UI R290,100,34,23.6111,24,,26,,
VISION P85 H150 06M UI R290,76,34,17.9444,18,,20,,
VISION P85 H205 DOORS 04M UI R290,51,34,12.0417,13,,15,,
VISION P85 H205 DOORS 06M UI R290,76,34,17.9444,18,,20,,
VISION P85 H205 DOORS 08M UI R290,100,34,23.6111,24,,26,,
VNRB12,155,48,51.6667,52,55,55,12',
VNRB2,55,48,18.3333,19,25,25,,
VNRB3,96,48,32,32,,36,,
VNRB4,124,48,41.3333,45,45,45,,4 door cooler
VNRB5,155,48,51.6667,55,55,55,,
VNRB8,96,48,32,32,36,36,8',
VNRZ2,60,48,20,20,,25,,
VNRZ3,96,48,32,40,40,40,,
VNRZ4,124,48,41.3333,45,45,45,,4 door cooler
VNRZ5,154,48,51.3333,,,55,,
VRB12,155,48,51.6667,52,55,55,12',12' Glass Door Cooler
VRB4,52,48,17.3333,18,20,20,4',4' CASE
VRB5,155,48,51.6667,52,,55,,
VRB6,76,48,25.3333,,,30,,
VRB8,102,48,34,32,36,45,8',8' Glass door Cooler
VRBDX12,155,48,51.6667,52,55,55,12',12' Glass Door Cooler
VRBDX8,96,48,32,32,36,36,8',8' Glass door Cooler
VRBH12,155,48,51.6667,52,55,55,12',12' Glass Door Cooler
VRBH8,102,48,34,34,36,45,8',8' Glass door Cooler
VRBHDX12,155,48,51.6667,52,55,55,12',12' Glass Door Cooler
VRBHDX8,96,48,32,32,36,36,8',8' Glass door Cooler
XRBH12,155,48,51.6667,52,55,55,12',12' Glass Door Cooler
XRBHPV12,155,48,51.6667,52,52,52,12',12' 5 door case
XRBHPV8,125,48,41.6667,42,42,42,8',8' 4 door case
